회사이름,회사코드,주식가격,가격변동,시가총액,per,업종1,업종2,신용도1,신용도2,신용도3,매출2016,매출2017,매출2018,매출2019,매출2020,4년전대비,3년전대비,2년전대비,1년전대비,자산2016,자산2017,자산2018,자산2019,자산2020,부채2016,부채2017,부채2018,부채2019,부채2020,자본2016,자본2017,자본2018,자본2019,자본2020,유보율16,유보율17,유보율18,유보율19,유보율20,매출-4,매출-3,매출-2,매출-1,매출-0,4분기전대비,3분기전대비,2분기전대비,1분기전대비,자산-4,자산-3,자산-2,자산-1,자산-0,부채-4,부채-3,부채-2,부채-1,부채-0,유보-4,유보-3,유보-2,유보-1,유보-0
KBI메탈,24840,1955,45,644.0,35.0,KOSDAQ  코스닥 제조,FICS  전기장비,BB+,BB+,,3584.0,4711.0,4638.0,4948.0,4922.0,1.3733258928571428,1.044788792188495,1.061233290211298,0.9947453516572352,1560,1991,2014,2194,2148,1100,1197,1188,1261,1189,461,794,826,933,959,336.5,393.76,413.32,448.76,462.99,1243,1309,1537,1703,1750,1.407884151246983,1.3368983957219251,1.1385816525699415,1.0275983558426307,2318,2148,2250,2430,2257,1322,1189,1293,1450,1251,484.57,462.99,459.54,473.85,487.32
동서,26960,30050,50,29960.0,25.6,KSE  코스피 유통업,FICS  식료품,A1 ,A1 ,A1 ,5138.0,5591.0,5635.0,5054.0,4930.0,0.959517321915142,0.8817742800930066,0.8748890860692103,0.9754649782350613,13270,13877,14322,14783,15258,1296,1430,1420,1272,1285,11974,12447,12902,13510,13973,2260.47,2366.99,2467.08,2613.47,2703.56,1189,1338,1322,1340,1280,1.0765349032800673,0.9566517189835575,0.9682299546142209,0.9552238805970149,15120,15258,14907,15239,15406,1309,1285,1271,1309,1217,2672.97,2703.56,2639.8,2697.63,2748.81
신성델타테크,65350,16100,-50,4425.0,51.05,KOSDAQ  코스닥 제조,FICS  내구소비재,A,A,,3946.0,4648.0,4371.0,4488.0,4931.0,1.2496198682209834,1.0608864027538727,1.1281171356668955,1.0987076648841354,3388,3345,3304,3487,4115,2382,2164,2096,2149,2494,1006,1181,1208,1338,1621,908.07,959.97,978.84,979.05,959.92,1363,1408,1909,1842,1838,1.3484959647835657,1.3053977272727273,0.962807752750131,0.997828447339848,3838,4115,5103,5224,5234,2382,2494,3269,3285,3205,967.02,959.92,1005.57,1063.6,1113.33
디아이씨,92200,5390,1240,2096.0,,KSE  코스피 운수장비,FICS  자동차부품,B,B,BB ,5575.0,6295.0,5532.0,5378.0,4934.0,0.8850224215246637,0.7837966640190628,0.8919016630513377,0.9174414280401636,7315,8275,8103,7798,6046,5332,6314,6238,5937,5340,1983,1961,1866,1861,706,1454.2,1363.56,1272.76,703.16,92.99,1281,1475,1446,1610,1334,1.0413739266198283,0.9044067796610169,0.9225449515905948,0.8285714285714286,6946,6046,6209,6303,6190,5635,5340,5376,5310,5135,440.56,92.99,151.5,227.16,259.22
한국정보통신,25770,9070,60,3396.0,31.77,KOSDAQ  코스닥 통신방송서비스,FICS  상업서비스,B,B,,3364.0,3766.0,4435.0,4988.0,4952.0,1.4720570749108204,1.314922995220393,1.1165727170236752,0.9927826784282278,2376,2649,2886,3536,3256,906,975,1040,1513,1190,1471,1674,1846,2023,2066,657.79,788.32,888.44,967.63,999.4,1252,1294,1267,1385,1329,1.0615015974440896,1.027047913446677,1.0489344909234413,0.9595667870036101,3179,3256,3514,3582,3641,1080,1190,1404,1428,1437,1015.56,999.4,1023.81,1046.25,1066.82
알루코,1780,3445,-5,3093.0,,KSE  코스피 철강및금속,FICS  금속 및 광물,,,BB+,4286.0,4617.0,5068.0,4544.0,4953.0,1.1556229584694353,1.0727745289148798,0.9773086029992107,1.0900088028169015,4394,4776,7443,7726,7014,2382,2701,4636,4867,4395,2013,2075,2807,2859,2619,438.24,454.89,448.52,450.95,385.48,1250,1253,1099,1240,1173,0.9384,0.9361532322426177,1.067333939945405,0.9459677419354838,7834,7014,7331,7408,7729,4631,4395,4627,4662,4677,461.77,385.48,399.39,404.09,427.43
카카오게임즈,293490,90700,1000,70212.0,65.71,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,A,A,B--,1013.0,2013.0,4208.0,3910.0,4955.0,4.891411648568608,2.4615002483854944,1.1775190114068441,1.2672634271099745,1311,3301,5457,5918,13099,631,1355,1291,1744,2845,680,1946,4166,4174,10254,26576.06,42943.27,7400.32,7379.65,13456.55,1505,1420,1301,1295,4662,3.097674418604651,3.2830985915492956,3.5833973866256725,3.6,11675,13099,18104,21682,26233,2440,2845,7584,8581,10905,12246.69,13456.55,13775.4,17148.38,18924.98
DRB동일,4840,5050,10,1006.0,43.23,KSE  코스피 화학,FICS  화학,BBB,BBB,BBB,5513.0,5439.0,5454.0,5470.0,4966.0,0.900779974605478,0.9130354844640559,0.9105243857719105,0.9078610603290677,7012,6774,7162,7453,7764,2708,2404,2680,2838,3128,4304,4371,4482,4615,4636,3508.92,3485.88,3459.9,3477.48,3463.86,1188,1385,1207,1386,1509,1.27020202020202,1.0895306859205776,1.2502071251035625,1.0887445887445888,8007,7764,7918,8042,8192,3288,3128,3229,3388,3471,3544.46,3463.86,3510.97,3470.17,3526.16
코아시아,45970,9640,-10,2537.0,,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,B,B,BB-,3961.0,4243.0,3617.0,4389.0,4984.0,1.2582681141125978,1.1746405844921046,1.3779375172795134,1.1355661881977672,3255,3311,3275,3263,3178,1828,1803,1889,1840,1844,1427,1508,1386,1423,1334,1103.92,1061.91,889.19,1038.9,946.7,1374,1627,1128,921,1171,0.8522561863173217,0.7197295636140135,1.0381205673758864,1.271444082519001,3785,3178,3449,3433,4159,2335,1844,1902,1836,2042,1027.03,946.7,991.55,989.21,944.83
금강공업,14280,7820,10,2294.0,,KSE  코스피 철강및금속,FICS  건축자재,,,,6032.0,6132.0,5679.0,5497.0,5019.0,0.8320623342175066,0.8184931506849316,0.8837823560486001,0.9130434782608695,7108,7564,8528,8340,7792,4060,4253,4986,4881,4259,3048,3311,3542,3459,3533,949.78,1013.79,1063.16,1004.3,938.64,1223,1257,1324,1471,1459,1.1929681112019623,1.1607000795544948,1.101963746223565,0.9918422841604351,7996,7792,7907,8139,8636,4361,4259,4232,4430,4803,997.69,938.64,904.54,921.6,953.42
락앤락,115390,11000,-200,5671.0,50.69,KSE  코스피 화학,FICS  용기 및 포장,,,AA ,4251.0,4174.0,4343.0,4860.0,5020.0,1.1808986120912726,1.2026832774317202,1.1558830301634815,1.0329218106995885,7509,7247,7394,7999,7832,789,858,788,1159,1179,6720,6389,6605,6840,6653,2426.03,2305.71,2301.52,2386.77,2318.77,1342,1497,1246,1269,1321,0.9843517138599106,0.8824315297261189,1.0601926163723916,1.0409771473601261,7983,7832,7766,7852,8283,1127,1179,1053,1126,1225,2443.35,2318.77,2394.85,2418.03,2538.65
한독,2390,22400,-200,3083.0,11.44,KSE  코스피 의약품,FICS  제약,BBB,BBB,BBB,3961.0,4180.0,4467.0,4730.0,5036.0,1.2713961120929058,1.2047846889952154,1.1273785538392658,1.064693446088795,6228,6393,6526,7487,8189,3336,3486,3392,4047,4371,2893,2907,3134,3440,3818,4401.28,4455.53,4403.99,4851.41,5440.7,1332,1318,1190,1238,1349,1.0127627627627627,1.0235204855842186,1.1336134453781512,1.0896607431340872,8205,8189,8315,9083,8582,4462,4371,4502,5076,4612,5269.64,5440.7,5440.68,5723.91,5668.98
인천도시가스,34590,27800,-50,1216.0,10.68,KSE  코스피 전기가스업,FICS  가스,,,,5149.0,5376.0,5844.0,5735.0,5045.0,0.9798019032821907,0.9384300595238095,0.8632785763175906,0.8796861377506539,3603,3894,3478,3653,3402,1974,2184,1677,1803,1485,1628,1710,1801,1850,1917,670.73,708.26,749.52,771.97,802.63,629,1458,1886,849,631,1.0031796502384738,0.4327846364883402,0.33457051961823964,0.7432273262661955,3343,3402,4029,3424,3268,1503,1485,2129,1513,1381,767.46,802.63,794.9,799.99,788.7
컴투스,78340,161000,2200,20715.0,25.78,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,,,A,5131.0,5080.0,4818.0,4693.0,5090.0,0.9920093549015786,1.0019685039370079,1.0564549605645497,1.0845940762838269,7120,8383,9093,10050,10491,770,774,648,795,720,6350,7609,8445,9254,9771,10130,12044.74,13736.3,15180.23,16236.01,1282,1349,1167,1529,1131,0.8822152886115444,0.838398813936249,0.9691516709511568,0.7396991497710922,10665,10491,12469,11720,17923,917,720,1449,1080,4114,16182.9,16236.01,18149.66,17871.49,20143.84
한솔로지스틱스,9180,4030,-45,1107.0,12.74,KSE  코스피 운수창고,FICS  육상운수,BBB,BBB,,3847.0,3553.0,4342.0,4607.0,5096.0,1.324668572913959,1.4342808893892485,1.1736526946107784,1.1061428261341437,979,919,1268,1668,1960,539,447,705,1197,1413,440,472,563,471,547,398.41,434.26,292.76,228.38,281.34,1269,1426,1546,1735,1826,1.4389282899921199,1.2805049088359046,1.1811125485122898,1.052449567723343,1849,1960,2015,1991,2421,1309,1413,1439,1250,1618,276.68,281.34,302.26,416.77,459.81
나무가,190510,12050,-100,1656.0,,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,A+ ,A+ ,C,2926.0,2576.0,3111.0,3621.0,5118.0,1.7491455912508544,1.9868012422360248,1.6451301832208294,1.4134217067108534,1959,1424,1188,1945,1834,1242,1118,833,1503,1450,717,306,354,443,384,3877,1695.52,1969.06,2248.84,956.13,1571,1283,1681,1030,1163,0.7402928071292171,0.9064692127825409,0.6918500892325996,1.129126213592233,2292,1834,1977,1715,1947,1851,1450,1485,1179,1321,1115.65,956.13,1253.87,658.6,785.25
이수페타시스,7660,6420,320,4060.0,,KSE  코스피 전기전자,FICS  전자 장비 및 기기,BB-,BB-,,5542.0,5313.0,5603.0,5142.0,5142.0,0.9278238902923133,0.9678147939017504,0.9177226485811173,1.0,5511,4833,5056,4167,3894,3530,3102,3279,3407,3243,1981,1731,1777,760,651,392.66,336.22,344.58,98.49,57.77,1094,1788,1223,1179,1290,1.1791590493601463,0.7214765100671141,1.0547833197056418,1.094147582697201,4405,3894,4203,4318,4230,3631,3243,3598,3674,3639,87.36,57.77,46.6,56.02,43.36
나이스정보통신,36800,30500,700,3050.0,22.58,KOSDAQ  코스닥 통신방송서비스,FICS  상업서비스,A,A,,3171.0,3664.0,4150.0,4523.0,5193.0,1.6376537369914854,1.4173034934497817,1.2513253012048193,1.1481317709484855,3769,4942,5454,6419,7149,2252,3136,3392,4109,4742,1517,1806,2061,2311,2407,2940.84,3559.47,4086.57,4616,4819.41,1377,1387,1538,1695,1658,1.2040668119099491,1.1953857245854362,1.0780234070221066,0.9781710914454277,7340,7149,7009,7372,8369,4860,4742,4572,4845,5729,4964.86,4819.41,4886.2,5070.52,5294.58
율촌화학,8730,25700,200,6374.0,31.59,KSE  코스피 화학,FICS  용기 및 포장,A1 ,A1 ,A1 ,4435.0,4922.0,4898.0,5066.0,5207.0,1.1740698985343856,1.0579032913449817,1.0630869742752145,1.0278326095538888,5268,5777,6142,6065,6133,2056,2419,2780,2645,2657,3212,3357,3362,3420,3476,2073.66,2172.05,2173.98,2214.39,2252.7,1333,1309,1349,1362,1340,1.005251312828207,1.0236822001527883,0.9933283914010378,0.9838472834067548,6289,6133,6101,6577,6539,2836,2657,2713,3172,3124,2236.69,2252.7,2192.75,2204.05,2211.23
평화홀딩스,10770,4595,50,672.0,,KSE  코스피 운수장비,FICS  자동차부품,BBB,BBB,BBB,5909.0,5501.0,5560.0,5811.0,5211.0,0.881875105770858,0.9472823123068533,0.9372302158273381,0.8967475477542591,4552,5090,4954,5029,5223,2975,3223,3562,3789,4031,1577,1867,1392,1240,1192,1796.47,2172.09,1716.41,1509.49,1485.73,1398,1631,1579,1595,1523,1.0894134477825466,0.9337829552421827,0.9645345155161494,0.954858934169279,5306,5223,5724,5525,5401,4251,4031,4552,4300,4241,1301.94,1485.73,1457.13,1501.32,1431.4
휴온스글로벌,84110,40850,450,4914.0,11.51,KOSDAQ  코스닥 제조,FICS  제약,,,,1637.0,3240.0,3787.0,4494.0,5230.0,3.194868662186927,1.6141975308641976,1.3810404013731186,1.1637739207832665,5571,6101,6729,7422,9490,1032,1192,1342,1604,2936,4539,4910,5386,5818,6554,6592.94,6894.55,6966.99,6933.65,7239.19,1372,1430,1316,1437,1454,1.0597667638483965,1.0167832167832167,1.1048632218844985,1.011830201809325,8798,9490,9792,10608,12258,2532,2936,3199,3676,3573,6996.84,7239.19,6940.88,7050.31,9283.16
원익QnC,74600,28650,-150,7532.0,29.17,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,BBB,BBB,,1390.0,1973.0,2665.0,2631.0,5256.0,3.781294964028777,2.6639635073492145,1.9722326454033772,1.9977194982896238,2228,2569,3595,6410,7431,643,759,1384,3538,4405,1585,1810,2211,2872,3026,2159.37,1200.52,1500.59,1520.69,1713.99,1314,1285,1426,1603,1587,1.2077625570776256,1.2350194552529183,1.1129032258064515,0.9900187149095446,7647,7431,7630,7615,8005,4638,4405,4412,4211,4407,1686.37,1713.99,1854.08,1977.16,2131.86
스튜디오드래곤,253450,88400,500,26533.0,84.67,KOSDAQ  코스닥 오락 문화,FICS  미디어,,,A- ,1544.0,2868.0,3796.0,4687.0,5257.0,3.4047927461139897,1.832984658298466,1.3848788198103266,1.121612972050352,2420,4595,5124,5816,7573,1059,910,1111,1533,1480,1361,3684,4013,4283,6093,1135.27,2528.24,2761.06,2948.44,3961.73,1063,1377,1171,1060,1161,1.0921919096895578,0.8431372549019608,0.9914602903501281,1.0952830188679246,6371,7573,8063,8516,8452,1755,1480,1473,1672,1565,3182.2,3961.73,4292.42,4462.38,4488.76
코스맥스비티아이,44820,12950,0,1244.0,,KSE  코스피 금융업,FICS  식료품,A,A,,2669.0,2983.0,4383.0,4684.0,5259.0,1.9704008992131885,1.762990278243379,1.1998631074606434,1.1227583262169085,6707,7408,8798,8927,8816,3241,3971,5200,5367,5493,3466,3437,3598,3560,3322,5951.84,5923.02,6134.63,6320.84,5971.99,1502,910,1346,1528,1432,0.9533954727030626,1.5736263736263736,1.063893016344725,0.93717277486911,9106,8816,8996,9573,9488,5524,5493,5600,6140,6015,6398.49,5971.99,6099.99,6218.78,6343.32
무림P&P,9580,4360,30,2719.0,,KSE  코스피 종이목재,FICS  종이 및 목재,A- ,A- ,,5986.0,6079.0,6512.0,6313.0,5279.0,0.8818910791847645,0.868399407797335,0.8106572481572482,0.8362109931886583,10953,11024,13560,13503,14304,5612,5392,7216,7298,8290,5341,5632,6344,6206,6014,242.46,261.16,295.59,293.69,280.84,1093,1329,1379,1614,1452,1.3284537968892955,1.09255079006772,1.0529369108049311,0.8996282527881041,13999,14304,14467,14302,14972,7904,8290,8598,8281,8903,286.44,280.84,271.6,280.96,283.92
켐트로닉스,89010,27700,-350,4116.0,24.17,KOSDAQ  코스닥 제조,FICS  화학,,,,2461.0,2928.0,3374.0,4035.0,5300.0,2.1535960991466885,1.8101092896174864,1.5708358032009484,1.3135068153655514,2264,2207,2316,2941,3686,1490,1455,1528,1947,2504,774,751,787,994,1182,1537.48,1099.36,1133.7,1311.86,1510.33,1617,1431,1369,1347,1311,0.8107606679035251,0.9161425576519916,0.9576333089846604,0.9732739420935412,3818,3686,3913,4346,4274,2749,2504,2687,3060,2901,1388.93,1510.33,1567.27,1649.97,1769.68
케이비아이동국실업,1620,801,8,699.0,,KSE  코스피 운수장비,FICS  자동차부품,,,BB ,6260.0,6020.0,6509.0,6156.0,5308.0,0.8479233226837061,0.8817275747508305,0.8154862498079583,0.8622482131254061,6310,5491,5703,5597,5661,4393,3674,3909,3833,3964,1917,1817,1793,1764,1698,1259.11,559.63,553.05,433.09,402.28,1399,1525,1401,1336,1138,0.8134381701215153,0.7462295081967213,0.8122769450392576,0.8517964071856288,5731,5661,5872,5766,5608,4061,3964,4097,3780,3678,393.8,402.28,419.21,346.19,333.23
일진머티리얼즈,20150,126500,0,58330.0,136.49,KSE  코스피 전기전자,FICS  전자 장비 및 기기,A3-,A3-,,3990.0,4540.0,5020.0,5502.0,5369.0,1.3456140350877193,1.1825991189427312,1.0695219123505977,0.9758269720101781,3908,6503,6922,10369,10810,961,1199,1638,2215,2274,2947,5304,5284,8155,8536,1360.97,2206.22,2191.92,2378.03,2551.08,1317,1326,1380,1711,1986,1.5079726651480638,1.497737556561086,1.4391304347826086,1.1607247223845705,10735,10810,10964,11220,11636,2133,2274,2421,2490,2553,2533.98,2551.08,2553.71,2639.59,2792.61
성도이엔지,37350,5630,70,871.0,0.98,KOSDAQ  코스닥 기타서비스,FICS  건설,BB+,BB+,,4256.0,3913.0,5292.0,6957.0,5375.0,1.262922932330827,1.3736263736263736,1.0156840513983372,0.7726031335345696,3498,3285,4555,5195,4095,1623,1416,2541,3804,1811,1874,1870,2013,1391,2283,2163.16,2327.35,2507.84,1743.84,2906.26,1172,1218,1192,1289,1262,1.07679180887372,1.0361247947454844,1.058724832214765,0.9790535298681148,4587,4095,4187,3966,4267,2970,1811,1882,1584,1790,2046.44,2906.26,2950.06,3063.29,3193.07
엔에스쇼핑,138250,12400,50,4178.0,64.72,KSE  코스피 유통업,FICS  온라인쇼핑,,,A2 ,4411.0,4768.0,4741.0,4980.0,5391.0,1.2221718431194741,1.1306627516778522,1.1371018772410884,1.0825301204819278,8087,7686,8140,9208,11512,4301,3517,3728,4943,7319,3786,4169,4412,4265,4193,2147.44,2433.57,2577.47,2480.54,2438.11,1221,1363,1401,1424,1474,1.2072072072072073,1.0814380044020544,1.0521056388294077,1.0351123595505618,11470,11512,11194,11139,11141,7197,7319,7067,7186,7227,2485.64,2438.11,2399.25,2295.47,2272.12
하나마이크론,67310,20200,-800,6451.0,,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,,,,2523.0,3658.0,4799.0,4982.0,5395.0,2.138327388030123,1.4748496446145434,1.1241925401125235,1.0828984343637094,4085,5200,6049,7067,7648,2682,3383,3987,4702,5181,1403,1817,2063,2365,2467,1004.28,1103.19,1104.71,1023.45,867.77,1461,1496,1435,1541,1761,1.2053388090349075,1.1771390374331552,1.227177700348432,1.1427644386761844,7951,7648,7989,8416,8536,5591,5181,5085,5502,5491,864.51,867.77,903.3,978.44,1014.71
삼표시멘트,38500,4805,0,5185.0,37.59,KOSDAQ  코스닥 제조,FICS  건축소재,,,D,6159.0,6713.0,5760.0,5955.0,5432.0,0.8819613573632084,0.8091762252346194,0.9430555555555555,0.9121746431570109,12634,12653,13068,13470,13493,6666,6330,6858,7118,7064,5967,6323,6210,6352,6429,1011.66,1077.99,1056.72,1083.14,1097.55,1244,1494,1152,1388,1321,1.0618971061093248,0.8842034805890228,1.1467013888888888,0.9517291066282421,12998,13493,13520,13588,14375,6660,7064,7252,7190,7976,1080.62,1097.55,1067.59,1091.73,1091.98
JW중외제약,1060,22900,50,4933.0,,KSE  코스피 의약품,FICS  제약,,,,4675.0,5029.0,5372.0,5113.0,5473.0,1.1706951871657754,1.0882879300059654,1.018801191362621,1.0704087619792686,6511,6309,5938,5732,5491,3748,3601,3337,3431,3416,2763,2708,2601,2301,2075,452.31,430.39,411.38,344.11,291.73,1371,1447,1421,1460,1490,1.086797957695113,1.0297166551485832,1.048557353976073,1.0205479452054795,5605,5491,5342,5837,5913,3453,3416,3298,3833,3853,305.57,291.73,276.27,270.04,279.91
